Designator,Mid X,Mid Y,Layer,Rotation
D1,-37.920003,24.528068,B,0
D2,-18.870003,27.028068,B,0
D3,0.179997,29.493068,B,0
D4,19.229997,27.028068,B,0
D5,38.279997,22.128068,B,0
D6,57.329997,22.128068,B,0
D7,-37.920003,5.428068,B,0
D8,-18.870003,7.978068,B,0
D9,0.179997,10.478068,B,0
D10,19.229997,7.978068,B,0
D11,38.279997,3.078068,B,0
D12,57.329997,3.078068,B,0
D13,-37.920003,-13.571932,B,0
D14,-18.870003,-11.071932,B,0
D15,0.179997,-8.571932,B,0
D16,19.229997,-11.071932,B,0
D17,38.279997,-15.971932,B,0
D18,57.329997,-15.971932,B,0
D19,-37.920003,-32.621932,B,0
D20,-18.870003,-30.121932,B,0
D21,0.179997,-27.621932,B,0
D22,19.229997,-30.121932,B,0
D23,38.312497,-34.906932,B,0
D24,57.329997,-35.021932,B,0
D25,-58.650003,-29.936932,B,0
D26,-53.892915,-56.359514,B,27
D27,-38.565262,-53.428688,B,15
D28,-18.870003,-49.171932,B,0
D29,0.179997,-46.671932,B,0
D30,19.229997,-49.171932,B,0
D31,-75.348753,42.505568,B,90
U1,-32.650003,45.673068,B,0