Designator,Mid X,Mid Y,Rotation,Layer
D1,39.98,93.005,0,B
D2,59.03,95.505,0,B
D3,78.08,97.97,0,B
D4,97.13,95.505,0,B
D5,116.18,90.605,0,B
D6,135.23,90.605,0,B
D7,39.98,73.905,0,B
D8,59.03,76.455,0,B
D9,78.08,78.955,0,B
D10,97.13,76.455,0,B
D11,116.18,71.555,0,B
D12,135.23,71.555,0,B
D13,39.98,54.905,0,B
D14,59.03,57.405,0,B
D15,78.08,59.905,0,B
D16,97.13,57.405,0,B
D17,116.18,52.505,0,B
D18,135.23,52.505,0,B
D19,39.98,35.855,0,B
D20,59.03,38.355,0,B
D21,78.08,40.855,0,B
D22,97.13,38.355,0,B
D23,116.18,33.455,0,B
D24,135.23,33.455,0,B
D25,19.25,38.54,0,B
D26,24.007088,12.117418,27,B
D27,39.334741,15.048244,15,B
D28,59.03,19.305,0,B
D29,78.08,21.805,0,B
D30,97.13,19.305,0,B
D31,2.55125,110.9825,90,B
U2,45.25,114.15,0,B